"","speaker","plays","count_speaker","count_plays"
"210","k�lling","Barselsstuen Komedie",4,1
"211","k�llingen","Barselsstuen Komedie, Den politiske kandestøber Komedie, Hekseri eller blind alarm Komedie i 5 akter, Mester Gert Westphaler eller Den meget talende barber Komedie",39,4
"212","k�resten","Hekseri eller blind alarm Komedie i 5 akter",4,1
"213","k�bmanden","Den 11. juni",8,1
"214","kammertjener","Jeppe på Bjerget eller Den forvandlede bonde",23,1
"215","karen","Barselsstuen Komedie",3,1
"216","karlene","Den stundesløse Komedie i 3 akter",1,1
"217","kavaleren","Den vægelsindede Komedie, Det lykkelige skibbrud Komedie i 5 akter, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",48,3
"218","kirsten","Den forvandlede brudgom Komedie i 1 akt uden aktører",60,1
"219","knud","Den 11. juni",7,1
"220","kokken","Det arabiske pulver Komedie",5,1
"221","konen","Barselsstuen Komedie, Den pantsatte bondedreng Komedie i 3 akter, Hekseri eller blind alarm Komedie i 5 akter, Jeppe på Bjerget eller Den forvandlede bonde, Maskerade Komedie",32,5
"222","korporal","Diderich Menschenskræk Komedie i 1 akt",2,1
"223","kusken","Kilderejsen Komedie i 3 akter",7,1
"224","l�jtnant","Erasmus Montanus eller Rasmus Berg Komedie i 5 akter",36,1
"225","lakaj","Den honnette ambition Komedie i 3 akter, Den politiske kandestøber Komedie, Den vægelsindede Komedie, Den vægelsindede Komedie i 3 akter, Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer, Jeppe på Bjerget eller Den forvandlede bonde, Kilderejsen Komedie i 3 akter",78,7
"226","lakajerne","Den pantsatte bondedreng Komedie i 3 akter",1,1
"227","lars","Den stundesløse Komedie i 3 akter, Hekseri eller blind alarm Komedie i 5 akter",9,2
"228","laurentia","Den forvandlede brudgom Komedie i 1 akt uden aktører",7,1
